                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.9073,                 3.6446,                 2.2199,                 2.3742,                0.39623,                0.43192,                0.35227,                0.11657,                0.22445,                0.18899,                0.19289,                0.05982,                 2.1858,                  3.606,                 2.0472,                 2.7686,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.8985,                 3.6182,                 2.2161,                 2.3597,                0.42441,                0.41132,                0.34459,                 0.1162,                0.23882,                0.18073,                0.18042,                0.05605,                 2.1096,                  3.552,                 2.0926,                  2.702,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.8853,                 3.6355,                 2.2057,                 2.3592,                0.36426,                0.40106,                 0.3382,                0.11338,                0.24514,                0.18349,                0.19434,                0.05989,                 2.1294,                 3.5796,                 2.0052,                 2.7316,               0.009109,               0.009109,               0.009109
                     48,                 1.8718,                 3.6223,                 2.1812,                 2.3555,                 0.3776,                 0.3806,                0.33253,                0.12059,                0.23819,                0.18165,                0.18537,                0.06084,                 2.1399,                 3.6528,                 2.0629,                 2.7273,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.8812,                 3.6139,                 2.1597,                 2.3611,                0.46512,                0.40159,                0.39844,                0.12877,                0.25059,                0.19083,                0.20968,                0.06726,                 2.1372,                 3.5543,                 2.0489,                 2.7151,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.8961,                 3.6227,                 2.1692,                 2.3444,                0.44722,                0.37523,                0.37666,                0.12926,                0.24263,                0.18638,                0.19675,                0.06465,                 2.1375,                   3.58,                 1.9643,                 2.7014,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.8858,                 3.5675,                 2.0901,                 2.3451,                0.40929,                0.39865,                0.37356,                0.13166,                0.25038,                0.19725,                0.21309,                0.06872,                 2.0972,                 3.5966,                 2.0449,                 2.6904,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.8444,                 3.5438,                 2.0955,                 2.3263,                0.46744,                0.38621,                0.39998,                0.13332,                0.28514,                0.18257,                0.20982,                0.06812,                 2.1508,                 3.6221,                 1.9772,                 2.7259,                0.00901,                0.00901,                0.00901
                     53,                 1.8491,                  3.552,                 2.0968,                 2.3312,                0.49444,                0.43032,                0.44147,                0.14452,                0.27763,                0.20367,                0.22512,                0.07066,                 2.1076,                 3.6043,                 1.9394,                 2.7214,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.8414,                 3.5454,                 2.0589,                 2.3114,                0.37396,                0.37084,                0.34784,                0.11489,                0.23933,                 0.1945,                0.19644,                0.06249,                 2.2031,                 3.7087,                 2.0361,                 2.7787,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.8423,                 3.5327,                 2.0961,                 2.3084,                0.47222,                0.40811,                0.40728,                0.13648,                0.25549,                0.20046,                0.20403,                 0.0631,                 2.1329,                  3.528,                 1.9307,                 2.7388,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.8492,                 3.5664,                 2.0718,                 2.3101,                0.46859,                0.43481,                0.42491,                0.14793,                0.24565,                0.21132,                 0.2027,                0.06268,                 2.1088,                 3.5828,                 1.8779,                 2.6721,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.8363,                 3.5457,                  2.039,                 2.3024,                0.46984,                0.44809,                0.41749,                0.15323,                0.27283,                0.20505,                0.21389,                0.06756,                 2.0951,                 3.5625,                 1.9081,                 2.6954,               0.008911,               0.008911,               0.008911
                     58,                  1.835,                 3.5149,                 2.0545,                 2.3106,                0.43039,                0.43308,                0.38055,                0.14157,                0.25814,                0.21239,                0.21572,                0.06874,                 2.0725,                 3.5329,                 1.8638,                 2.6591,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.8391,                 3.5498,                 2.0519,                 2.3186,                 0.4738,                 0.3846,                0.39539,                0.14757,                0.28788,                 0.2211,                0.23249,                0.07555,                 2.0918,                 3.6397,                 1.8608,                 2.6875,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.8101,                 3.4917,                 2.0242,                  2.294,                0.47251,                0.43585,                0.42617,                0.16567,                0.27838,                 0.2155,                0.23279,                0.07846,                 2.0513,                 3.5474,                 1.8923,                 2.6723,              0.0088516,              0.0088516,              0.0088516
                     61,                  1.808,                 3.4346,                  1.975,                 2.2801,                0.38582,                0.38059,                0.34816,                 0.1223,                0.28853,                0.19541,                0.20886,                0.06563,                 2.1884,                 3.6616,                 2.0088,                  2.753,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.7953,                 3.4439,                  2.009,                 2.2657,                0.47336,                0.46787,                0.41215,                0.14274,                0.27196,                0.22064,                0.22439,                0.07508,                 2.1016,                 3.5273,                  1.885,                  2.697,               0.008812,               0.008812,               0.008812
                     63,                 1.7919,                 3.4626,                 1.9785,                  2.274,                0.43425,                0.43566,                0.39629,                0.13887,                0.27894,                0.20275,                0.21244,                0.06792,                  2.101,                 3.5751,                 1.8653,                 2.6944,              0.0087922,              0.0087922,              0.0087922
